"alt","clock","facility_name","gs","heading","hexid","id","ident","lat","lon","orig","pitr","reg","squawk","type","vertRate","dest","updateType","actual_off","route","my_country","latest_time"
"40975","1664519134","FlightAware ADS-B","482","44","86D266","ANA848-1664334480-schedule-0419","ANA848","24.079830","120.669200","VTBS","1664519139","JA814A","0717","position","416","RJTT","A","\N","","\N","2022-10-01 00:00:29"
"41000","1664519164","FlightAware ADS-B","482","44","86D266","ANA848-1664334480-schedule-0419","ANA848","24.129550","120.721940","VTBS","1664519170","JA814A","0717","position","96","RJTT","A","\N","","\N","2022-10-01 00:01:31"
"40975","1664519194","FlightAware ADS-B","484","44","86D266","ANA848-1664334480-schedule-0419","ANA848","24.176300","120.771410","VTBS","1664519199","JA814A","0717","position","-352","RJTT","A","\N","","\N","2022-10-01 00:03:34"
"40975","1664519224","FlightAware ADS-B","484","44","86D266","ANA848-1664334480-schedule-0419","ANA848","24.224620","120.822510","VTBS","1664519230","JA814A","0717","position","320","RJTT","A","\N","","\N","2022-10-01 00:04:35"
"41000","1664519254","FlightAware ADS-B","486","44","86D266","ANA848-1664334480-schedule-0419","ANA848","24.272990","120.873860","VTBS","1664519259","JA814A","0717","position","896","RJTT","A","\N","","\N","2022-10-01 00:06:38"
"41000","1664519284","FlightAware ADS-B","486","44","86D266","ANA848-1664334480-schedule-0419","ANA848","24.322130","120.926160","VTBS","1664519290","JA814A","0717","position","-32","RJTT","A","\N","","\N","2022-10-01 00:08:41"
"41000","1664519314","FlightAware ADS-B","487","44","86D266","ANA848-1664334480-schedule-0419","ANA848","24.369280","120.976210","VTBS","1664519319","JA814A","0717","position","-192","RJTT","A","\N","","\N","2022-10-01 00:10:44"
"40975","1664519357","FlightAware ADS-B","487","50","86D266","ANA848-1664334480-schedule-0419","ANA848","24.435920","121.054050","VTBS","1664519363","JA814A","0717","position","-320","RJTT","A","\N","","\N","2022-10-01 00:12:47"
"40975","1664519387","FlightAware ADS-B","488","52","86D266","ANA848-1664334480-schedule-0419","ANA848","24.477170","121.110590","VTBS","1664519393","JA814A","0717","position","-736","RJTT","A","\N","","\N","2022-10-01 00:14:50"
"40975","1664519418","FlightAware ADS-B","490","52","86D266","ANA848-1664334480-schedule-0419","ANA848","24.522880","121.173650","VTBS","1664519423","JA814A","0717","position","256","RJTT","A","\N","","\N","2022-10-01 00:15:52"
